Time, x, y, z
237.8425936,-2.911,-3.984,-0.459
237.8529467,-2.911,-3.984,-0.459
237.8653216,-2.911,-3.984,-0.459
237.8778567,0.766,-8.427,-2.758
237.8894386,0.766,-8.427,-2.758
237.9002256,0.766,-8.427,-2.758
237.9114956,0.766,-8.427,-2.758
237.9241745,0.766,-8.427,-2.758
238.7022237,0.766,-8.427,-2.758
238.7185947,-1.532,-4.29,1.225
238.7383708,-1.532,-4.29,1.225
238.7670738,-1.532,-4.29,1.225
238.7934527,-1.532,-4.29,1.225
238.8229849,-1.532,-4.29,1.225
238.8473408,-1.532,-4.29,1.225
238.8767998,-1.532,-4.29,1.225
238.9040827,-2.758,-7.508,-0.919
238.9309017,-2.758,-7.508,-0.919
238.9581439,-2.758,-7.508,-0.919
238.9818117,-2.758,-7.508,-0.919
238.9998989,-2.758,-7.508,-0.919
239.0235378,-2.758,-7.508,-0.919
239.0811388,-2.758,-7.508,-0.919
239.1073768,-2.758,-7.508,-0.919
239.1304807,-2.758,-7.508,-0.919
239.1630787,-2.758,-7.508,-0.919
239.1873829,-2.758,-7.508,-0.919
239.495116,-2.758,-7.508,-0.919
239.5387471,-1.992,-15.323,0.766
239.579046,-1.992,-15.323,0.766
239.6232729,-1.992,-15.323,0.766
239.6544189,-1.992,-15.323,0.766
239.7154527,-1.992,-15.323,0.766
239.7928865,-1.992,-15.323,0.766
239.8266037,-1.992,-15.323,0.766
239.8665395,-1.992,-15.323,0.766
239.8951037,-1.992,-15.323,0.766
239.9203105,-0.919,-5.363,4.75
239.9483535,-0.919,-5.363,4.75
239.9736357,-0.919,-5.363,4.75
240.0451157,-0.919,-5.363,4.75
240.0735307,-0.919,-5.363,4.75
240.1012767,-0.919,-5.363,4.75
240.1279025,-0.919,-5.363,4.75
240.1488126,-0.919,-5.363,4.75
240.1705647,-0.919,-5.363,4.75
240.2032786,-0.919,-5.363,4.75
240.2276626,-0.919,-5.363,4.75
240.2572937,-0.919,-5.363,4.75
240.2877126,-0.919,-5.363,4.75
240.3167145,-0.919,-5.363,4.75
240.3416236,-0.919,-5.363,4.75
240.3570667,-0.919,-5.363,4.75
240.3954246,-0.919,-5.363,4.75
240.4162135,0.306,-8.887,-2.911
240.4404156,0.306,-8.887,-2.911
240.4696117,0.306,-8.887,-2.911
240.4983475,0.306,-8.887,-2.911
240.8526617,0.306,-8.887,-2.911
240.8640688,0.306,-8.887,-2.911
240.8917628,0.306,-8.887,-2.911
240.9192627,0.306,-8.887,-2.911
240.9441699,-3.524,-4.75,-4.29
240.9918679,-3.524,-4.75,-4.29
241.0300437,-3.524,-4.75,-4.29
241.0589639,-3.524,-4.75,-4.29
241.0887826,-3.524,-4.75,-4.29
241.1122728,-3.524,-4.75,-4.29
241.1360057,-3.524,-4.75,-4.29
241.1605667,-3.524,-4.75,-4.29
241.4002558,-3.524,-4.75,-4.29
241.4214247,-3.524,-4.75,-4.29
241.4475187,3.524,-11.032,-0.153
241.4741438,3.524,-11.032,-0.153
241.4992257,3.524,-11.032,-0.153
241.5321747,3.524,-11.032,-0.153
241.5605348,3.524,-11.032,-0.153
241.5782586,3.524,-11.032,-0.153
241.6062938,3.524,-11.032,-0.153
241.6352588,3.524,-11.032,-0.153
241.6635638,3.524,-11.032,-0.153
241.6739458,3.524,-11.032,-0.153
241.6856247,3.524,-11.032,-0.153
241.7116526,3.524,-11.032,-0.153
241.7411088,3.524,-11.032,-0.153
241.7768696,3.524,-11.032,-0.153
241.8018678,3.524,-11.032,-0.153
242.0445126,3.524,-11.032,-0.153
242.0780066,-2.298,-5.976,-5.976
242.0992037,-2.298,-5.976,-5.976
242.1177836,-2.298,-5.976,-5.976
242.1371816,-2.298,-5.976,-5.976
242.1595107,-2.298,-5.976,-5.976
242.1862217,-2.298,-5.976,-5.976
242.2278267,-2.298,-5.976,-5.976
242.2585476,-2.298,-5.976,-5.976
242.2865716,-2.298,-5.976,-5.976
242.3144647,-2.298,-5.976,-5.976
242.3432797,-2.298,-5.976,-5.976
242.3705367,-2.298,-5.976,-5.976
242.3998998,-2.298,-5.976,-5.976
242.4416326,0.919,-8.427,-0.919
242.4643928,0.919,-8.427,-0.919
242.4941686,0.919,-8.427,-0.919
242.5172497,0.919,-8.427,-0.919
242.5377198,0.919,-8.427,-0.919
242.8319238,0.919,-8.427,-0.919
242.8443616,0.919,-8.427,-0.919
242.8625868,0.919,-8.427,-0.919
242.8805038,0.919,-8.427,-0.919
242.8913587,0.919,-8.427,-0.919
242.9135338,0.919,-8.427,-0.919
242.9419628,0.153,-11.186,0.153
242.9717868,0.153,-11.186,0.153
242.9971787,0.153,-11.186,0.153
243.0237628,0.153,-11.186,0.153
243.0602137,0.153,-11.186,0.153
243.0835558,0.153,-11.186,0.153
243.1037148,0.153,-11.186,0.153
243.1141518,0.153,-11.186,0.153
243.1251846,0.153,-11.186,0.153
243.1364478,0.153,-11.186,0.153
243.1488787,0.153,-11.186,0.153
243.1621178,0.153,-11.186,0.153
243.1726848,0.153,-11.186,0.153
243.1835958,0.153,-11.186,0.153
243.1948467,0.153,-11.186,0.153
