Time, x, y, z,,,,,,,,,
52.83698445,2.1843567,-2.8589783,5.5039215,,,,,,,,,
52.84300953,-0.51260376,-1.3117371,1.459671,,,,,,,,,
52.84880954,-1.9908142,-2.4566956,-0.49461365,,,,,,,,,
52.85470754,-2.6287537,-3.749237,-1.3277435,,,,,,,,,
52.86136561,-3.811798,-5.1893616,-0.5826874,,,,,,,,,
52.86662346,-4.421173,-6.3938293,0.6027374,,,,,,,,,
52.87199741,-3.7713318,-7.4673767,1.5953522,,,,,,,,,
52.87713247,-2.0265198,-9.714447,3.4829865,,,,,,,,,
52.88263446,-0.6316223,-10.557098,4.775528,,,,,,,,,
52.88809663,1.3059998,-11.247406,5.6443634,,,,,,,,,
52.90173465,4.8122864,-12.868439,3.011673,,,,,,,,,
52.90755659,4.8122864,-12.868439,3.011673,,,,,,,,,
52.91345459,6.0881653,-12.592316,-1.5538788,,,,,,,,,
52.91938263,6.0762634,-12.118622,-3.7009735,,,,,,,,,
52.92511445,5.847748,-11.373566,-4.6126556,,,,,,,,,
52.93134147,5.3573914,-10.461884,-4.7150116,,,,,,,,,
52.93661457,4.6575623,-8.847992,-4.307968,,,,,,,,,
52.94204861,4.1386414,-8.221954,-4.0270844,,,,,,,,,
52.9472335,3.443573,-7.795868,-3.6367035,,,,,,,,,
52.95458251,2.410492,-7.576874,-2.9940033,,,,,,,,,
52.96110254,1.5583191,-7.4911804,-2.3013153,,,,,,,,,
52.96688062,0.3871765,-7.6530457,-0.6874237,,,,,,,,,
52.97198158,0.07772827,-7.8268127,-0.72550964,,,,,,,,,
52.97688657,-0.20553589,-8.017242,-1.0992279,,,,,,,,,
52.98225957,-0.5578308,-8.307648,-1.503891,,,,,,,,,
52.98722559,-0.86727905,-8.531403,-1.5419769,,,,,,,,,
52.99514061,-1.0767517,-8.669464,-1.4062958,,,,,,,,,
53.00169664,-0.86727905,-8.64566,-1.4300995,,,,,,,,,
53.00830656,-0.9363098,-8.914642,-0.88261414,,,,,,,,,
53.0143345,-0.53878784,-8.831329,-0.4565277,,,,,,,,,
53.02044254,-0.16506958,-8.76944,-0.10661316,,,,,,,,,
53.0263775,0.6752014,-8.759918,0.47181702,,,,,,,,,
53.03274852,1.0346375,-8.726593,0.51704407,,,,,,,,,
53.03888851,1.3559875,-8.738495,0.5884552,,,,,,,,,
53.04481345,1.4369202,-8.70993,0.6051178,,,,,,,,,
53.05046254,1.5226135,-8.676605,0.1933136,,,,,,,,,
53.05635649,1.5535583,-8.607574,-0.8350067,,,,,,,,,
53.06256658,1.6392517,-8.545685,-1.4300995,,,,,,,,,
53.06900865,1.5487976,-8.567108,-2.0085297,,,,,,,,,
53.07568151,1.4726257,-8.531403,-2.4250946,,,,,,,,,
53.08255845,1.7606506,-8.690887,-2.6417084,,,,,,,,,
53.09043842,1.6511536,-8.886078,-2.5203094,,,,,,,,,
53.09838658,1.9986877,-8.64328,-1.1396942,,,,,,,,,
53.10612947,2.2295837,-8.586151,-1.0278168,,,,,,,,,
53.11375147,2.5890198,-8.393341,-1.144455,,,,,,,,,
53.12117058,2.6985168,-8.336212,-1.4300995,,,,,,,,,
53.12809855,2.7342224,-8.350494,-1.4943695,,,,,,,,,
53.13433152,2.7651672,-8.32193,-1.4562836,,,,,,,,,
53.14044958,2.8556213,-8.429047,-1.0730438,,,,,,,,,
53.34010154,2.7746887,-8.498077,-0.79216003,,,,,,,,,
53.35318547,5.445465,-14.068146,-3.6985931,,,,,,,,,
53.37545854,4.1148376,-11.97818,-4.500778,,,,,,,,,
53.38908964,1.3131409,-9.962006,-4.8030853,,,,,,,,,
53.40068441,-0.35073853,-10.371429,-2.9297333,,,,,,,,,
53.41308146,0.40621948,-12.04245,0.44563293,,,,,,,,,
53.42336946,-0.4197693,-13.375458,2.402298,,,,,,,,,
53.43409449,-1.8717957,-15.167877,3.2068634,,,,,,,,,
53.44409758,-2.6263733,-16.179535,2.9521637,,,,,,,,,
53.45451456,-3.009613,-16.860321,1.876236,,,,,,,,,
53.46471959,-2.823944,-16.160492,0.68367004,,,,,,,,,
53.47341949,-2.1526794,-14.389496,-1.5134125,,,,,,,,,
53.48079043,-1.2981262,-13.437347,-3.286789,,,,,,,,,
53.48806554,-0.2531433,-11.602081,-5.0149384,,,,,,,,,
53.4943586,0.19674683,-11.059357,-4.607895,,,,,,,,,
53.50051862,1.5773621,-10.421417,-4.1889496,,,,,,,,,
53.50588542,4.052948,-9.6716,-2.77977,,,,,,,,,
