Time, x, y, z,,,,,,
7.249364853,-2.2121887,-9.381195,-0.47080994,,,,,,
7.253320932,-2.2050476,-9.404999,-0.53507996,,,,,,
7.259178877,-2.2026672,-9.404999,-0.47557068,,,,,,
7.263787985,-2.207428,-9.416901,-0.43510437,,,,,,
7.268150806,-2.188385,-9.41452,-0.43510437,,,,,,
7.273660898,-2.181244,-9.419281,-0.45176697,,,,,,
7.279522896,-2.1479187,-9.424042,-0.51127625,,,,,,
7.284992933,-2.1479187,-9.464508,-0.4898529,,,,,,
7.291416883,-2.1907654,-9.433563,-0.4493866,,,,,,
7.295554876,-2.1669617,-9.378815,-0.432724,,,,,,
7.300230026,-2.1836243,-9.366913,-0.38987732,,,,,,
7.306056023,-2.1836243,-9.366913,-0.38987732,,,,,,
7.310208797,-2.2502747,-9.404999,-0.45414734,,,,,,
7.315725803,-2.2669373,-9.369293,-0.44462585,,,,,,
7.320818901,-2.214569,-9.383575,-0.50413513,,,,,,
7.32486701,-2.2502747,-9.383575,-0.4827118,,,,,,
7.328974009,-2.2312317,-9.374054,-0.47795105,,,,,,
7.333067894,-2.2312317,-9.374054,-0.47795105,,,,,,
7.337144852,-2.2693176,-9.383575,-0.47795105,,,,,,
7.341827869,-2.2169495,-9.381195,-0.47080994,,,,,,
7.345803022,-2.1836243,-9.359772,-0.43748474,,,,,,
7.349848986,-2.2217102,-9.419281,-0.4898529,,,,,,
7.353892803,-2.1931458,-9.41214,-0.56126404,,,,,,
7.359118938,-2.1931458,-9.41214,-0.56126404,,,,,,
7.362788916,-2.2193298,-9.424042,-0.51127625,,,,,,
7.366158009,-2.2359924,-9.402618,-0.516037,,,,,,
7.36993289,-2.2359924,-9.431183,-0.46366882,,,,,,
7.373938799,-2.2597961,-9.402618,-0.4827118,,,,,,
7.378247023,-2.2597961,-9.402618,-0.4827118,,,,,,
7.382426977,-2.233612,-9.400238,-0.51127625,,,,,,
7.386195898,-2.2431335,-9.397858,-0.5660248,,,,,,
7.390455008,-2.2550354,-9.364532,-0.47557068,,,,,,
7.394459009,-2.2193298,-9.381195,-0.6041107,,,,,,
7.39859581,-2.2193298,-9.381195,-0.6041107,,,,,,
7.402565956,-2.207428,-9.407379,-0.57554626,,,,,,
7.407993793,-2.1955261,-9.402618,-0.47557068,,,,,,
7.413210869,-2.1788635,-9.433563,-0.5565033,,,,,,
7.41789794,-2.1764832,-9.435944,-0.5636444,,,,,,
7.423069954,-2.1479187,-9.426422,-0.57554626,,,,,,
7.555474997,-2.1717224,-9.364532,-0.43748474,,,,,,
7.559736967,-2.1860046,-9.364532,-0.4993744,,,,,,
7.564224958,-2.2050476,-9.366913,-0.4565277,,,,,,
7.568781853,-2.207428,-9.4097595,-0.49223328,,,,,,
7.572955847,-2.2098083,-9.352631,-0.44700623,,,,,,
7.578001976,-2.2193298,-9.371674,-0.55174255,,,,,,
7.582345009,-2.2193298,-9.371674,-0.55174255,,,,,,
7.587810993,-2.2026672,-9.431183,-0.47795105,,,,,,
7.593056917,-2.1169739,-9.431183,-0.432724,,,,,,
7.599686861,-2.1645813,-9.424042,-0.50175476,,,,,,
7.605611801,-2.1550598,-9.421661,-0.5065155,,,,,,
7.610510826,-2.1455383,-9.395477,-0.5136566,,,,,,
7.614019871,-2.1383972,-9.393097,-0.44700623,,,,,,
7.617851973,-2.124115,-9.416901,-0.54222107,,,,,,
7.622592926,-2.124115,-9.416901,-0.54222107,,,,,,
7.627173901,-2.1479187,-9.431183,-0.4660492,,,,,,
7.631860018,-2.1526794,-9.369293,-0.55174255,,,,,,
7.636467934,-2.1717224,-9.4097595,-0.5374603,,,,,,
7.641134977,-2.1788635,-9.364532,-0.50175476,,,,,,
7.645831823,-2.1526794,-9.41214,-0.5255585,,,,,,
7.651456833,-2.1526794,-9.376434,-0.50413513,,,,,,
7.656184912,-2.1717224,-9.431183,-0.47557068,,,,,,
7.661058903,-2.150299,-9.419281,-0.5136566,,,,,,
7.665407896,-2.1717224,-9.462128,-0.48033142,,,,,,
7.671670914,-2.1550598,-9.402618,-0.5065155,,,,,,
