Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
13.42505516,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.45369925,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.48266233,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.50810327,0.919,9.653,0,,,,,,,,,,,,,,,,,,,,,
13.52927317,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.77666821,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.79528321,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.80460514,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.82399525,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.85225429,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.88408817,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.92623033,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.9532112,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
13.98716821,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
14.01532425,1.072,9.5,-1.072,,,,,,,,,,,,,,,,,,,,,
14.0391673,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.0597073,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.08320726,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.10944833,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.14113225,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.16661014,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.18736018,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.21671118,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.23771919,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.26059712,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.50501813,1.072,10.113,-2.298,,,,,,,,,,,,,,,,,,,,,
14.53396834,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.56193222,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.59033813,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.61051024,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.63698019,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.65626229,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.67836632,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.70780219,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.7355832,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.75924529,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
14.77829231,1.379,10.573,-1.992,,,,,,,,,,,,,,,,,,,,,
