Time, x, y, z,,,,,,,,,,,,,,,,,,
16.99316408,-1.072,9.807,3.217,,,,,,,,,,,,,,,,,,
17.00604822,-0.919,9.653,3.83,,,,,,,,,,,,,,,,,,
17.01810314,-0.766,9.347,3.677,,,,,,,,,,,,,,,,,,
17.03287007,-1.072,9.807,3.524,,,,,,,,,,,,,,,,,,
17.04501321,-1.072,9.807,3.524,,,,,,,,,,,,,,,,,,
17.05722405,-1.225,9.653,3.217,,,,,,,,,,,,,,,,,,
17.0689471,-1.072,9.347,2.911,,,,,,,,,,,,,,,,,,
17.08157517,-1.072,9.347,2.911,,,,,,,,,,,,,,,,,,
17.09262015,-1.072,9.5,3.371,,,,,,,,,,,,,,,,,,
17.10438826,-1.072,9.5,3.371,,,,,,,,,,,,,,,,,,
17.11647107,-0.766,9.653,3.83,,,,,,,,,,,,,,,,,,
17.1281171,-0.459,9.5,2.758,,,,,,,,,,,,,,,,,,
17.1483052,-0.459,9.653,2.298,,,,,,,,,,,,,,,,,,
17.16002824,-0.766,9.96,1.685,,,,,,,,,,,,,,,,,,
17.17241718,-0.766,9.96,1.685,,,,,,,,,,,,,,,,,,
17.18429114,-0.766,9.347,3.677,,,,,,,,,,,,,,,,,,
17.19695713,-1.379,9.96,1.072,,,,,,,,,,,,,,,,,,
17.20808126,-1.379,10.266,1.838,,,,,,,,,,,,,,,,,,
17.21943619,-0.306,9.96,3.524,,,,,,,,,,,,,,,,,,
17.23295309,-1.379,9.653,3.217,,,,,,,,,,,,,,,,,,
17.24499824,-1.225,9.5,4.443,,,,,,,,,,,,,,,,,,
17.25727012,-1.225,9.5,4.29,,,,,,,,,,,,,,,,,,
17.26894309,-0.766,9.347,3.064,,,,,,,,,,,,,,,,,,
17.28126409,-0.766,9.347,3.064,,,,,,,,,,,,,,,,,,
17.29635527,-0.459,9.347,2.145,,,,,,,,,,,,,,,,,,
17.30857613,-0.919,9.807,3.371,,,,,,,,,,,,,,,,,,
18.14980723,-0.612,9.653,4.29,,,,,,,,,,,,,,,,,,
18.16469314,-0.766,9.653,5.209,,,,,,,,,,,,,,,,,,
18.18172409,-0.306,8.887,4.75,,,,,,,,,,,,,,,,,,
18.20345618,-0.459,9.5,5.209,,,,,,,,,,,,,,,,,,
18.21925117,-0.766,9.194,6.435,,,,,,,,,,,,,,,,,,
18.2325392,-0.459,9.194,5.363,,,,,,,,,,,,,,,,,,
18.24432804,-0.459,9.194,5.363,,,,,,,,,,,,,,,,,,
18.25643804,-0.459,8.887,5.976,,,,,,,,,,,,,,,,,,
18.2681792,-0.459,8.887,5.976,,,,,,,,,,,,,,,,,,
18.28062608,-0.153,8.121,3.677,,,,,,,,,,,,,,,,,,
18.29182126,0.153,9.04,5.669,,,,,,,,,,,,,,,,,,
18.30455806,0.153,9.04,5.669,,,,,,,,,,,,,,,,,,
18.31664016,-0.459,8.427,4.597,,,,,,,,,,,,,,,,,,
18.32841708,-0.459,8.887,4.75,,,,,,,,,,,,,,,,,,
18.33950307,-0.612,8.887,6.435,,,,,,,,,,,,,,,,,,
18.35186913,0,8.427,5.822,,,,,,,,,,,,,,,,,,
18.36420419,-0.153,8.734,4.75,,,,,,,,,,,,,,,,,,
18.37660315,-0.459,8.734,4.903,,,,,,,,,,,,,,,,,,
18.38909604,-0.306,8.734,4.75,,,,,,,,,,,,,,,,,,
18.39933826,-0.153,8.734,5.822,,,,,,,,,,,,,,,,,,
18.41147305,-0.153,8.734,5.822,,,,,,,,,,,,,,,,,,
18.44345905,-0.306,8.427,5.669,,,,,,,,,,,,,,,,,,
18.45826914,-0.306,8.427,4.597,,,,,,,,,,,,,,,,,,
18.47055223,-0.306,8.427,4.597,,,,,,,,,,,,,,,,,,
18.48171522,0,8.734,5.056,,,,,,,,,,,,,,,,,,
18.49377706,0,8.734,5.056,,,,,,,,,,,,,,,,,,
18.50547506,-0.459,9.5,4.597,,,,,,,,,,,,,,,,,,
18.51822807,0,8.887,4.597,,,,,,,,,,,,,,,,,,
18.52959921,-0.766,9.653,5.363,,,,,,,,,,,,,,,,,,
18.54289104,-0.766,9.653,5.363,,,,,,,,,,,,,,,,,,
18.55448606,-0.919,8.887,4.903,,,,,,,,,,,,,,,,,,
18.56756308,-0.612,9.347,5.209,,,,,,,,,,,,,,,,,,
18.57918813,-0.153,9.04,4.75,,,,,,,,,,,,,,,,,,
18.59126522,-0.153,9.04,4.75,,,,,,,,,,,,,,,,,,
18.60432007,-0.612,8.581,5.209,,,,,,,,,,,,,,,,,,
18.61622312,-0.766,9.04,4.597,,,,,,,,,,,,,,,,,,
18.62860825,-0.766,9.04,4.597,,,,,,,,,,,,,,,,,,
